title,product_url,review_count,images,features,collected_at,asin,description,brand,rating
"Ollie The Octopus Dog Toy Tough 4 Inch Handmade Eco Cotton Rope Dog Toy Octopus with Natural, Non-Toxic Dyes - Dog Octopus Toy for Small Dogs (Orange, Small)",https://www.amazon.com/dp/B0FWLT3KPM,(29),https://m.media-amazon.com/images/I/61ig1jpddrL._AC_SY300_SX300_QL70_FMwebp_.jpg,,2026-03-22 13:17:38,B0FWLT3KPM,,Visit the Chowabunga Store,4.0
"Stainless Steel Dog Bowls, Non Slip Dog Metal Bowls, 2 Pack Food and Water Pet Feeders Heavy Duty Dishwasher Safe (16oz, 2cup)",https://www.amazon.com/dp/B0FW4S4G5M,(175),https://m.media-amazon.com/images/I/71NWNNCQFzL._AC_SY300_SX300_QL70_FMwebp_.jpg,,2026-03-22 13:17:44,B0FW4S4G5M,,Visit the Wellbro Store,4.7
"Dog Bowls Durable Heavy Duty Stainless Steel Dog Bowls Non-Slip Basic Bowl for Dogs with Rubber Base (2 Pack, 3 Cups)",https://www.amazon.com/dp/B0DK9WBKZ1,(112),https://m.media-amazon.com/images/I/61ME-ZPffsL._AC_SY300_SX300_QL70_FMwebp_.jpg,,2026-03-22 13:17:49,B0DK9WBKZ1,,Brand: YINGFAN,4.4
"DownyPaws Cat House for Indoor Cats, Cat Bed Cave for Multiple & Large Cats Up to 22 Lbs, Scratch Resistant, Foldable Peekaboo Kitten Caves Tunnel Enclosed Bed, PeekaPurr, Cream",https://www.amazon.com/dp/B0CT7TJXLH,(759),https://m.media-amazon.com/images/I/81C92mLWbEL._AC_SX300_SY300_QL70_FMwebp_.jpg,,2026-03-22 13:17:55,B0CT7TJXLH,,Visit the DownyPaws Store,4.5
Terramar Womens Thermasilk Pointelle Scoop,https://www.amazon.com/dp/B0000E0131,"(1,721)",https://m.media-amazon.com/images/I/41Wa-4CX1TL._AC_SY300_SX300_QL70_FMwebp_.jpg,,2026-03-22 13:18:06,B0000E0131,"Over forty years ago Terramar was the first company to introduce silk performance base layer products. is still going strong. The women's point Elle scoop offers a natural super soft touch and feel with all the technology you need. The result is a breathable lightweight top that keeps you warm, dry and comfortable for all your outdoor adventures. The tradition continues.",Visit the Terramar Store,4.3
"Divi Shampoo and Conditioner Set for Women and Men - Hair Care Duo for All Hair Types, Adds Volume, Lift, and Bounce, Strengthens and Nourishes Hair - Full Size, 2 x 12 Fl Oz",https://www.amazon.com/dp/B0DLHWPWHY,(134),https://m.media-amazon.com/images/I/21-O4raKlvL._SX342_SY445_QL70_FMwebp_.jpg,,2026-03-22 13:18:11,B0DLHWPWHY,,,4.3
"100% Mulberry Silk Pillowcase for Hair and Skin, 22 Momme Pure Natural Silk Pillow Case Both Sided with Zipper, Pillow Cover for Women Mom Men (Silver Grey, Standard 20''×26'', 1 Pack)",https://www.amazon.com/dp/B07RGFS927,"(31,449)",https://m.media-amazon.com/images/I/71B1EXVMIiL._AC_SX300_SY300_QL70_FMwebp_.jpg,,2026-03-22 13:18:17,B07RGFS927,,Visit the J JIMOO Store,4.5
"Freewill Color Seal Glossing Rinse, Gloss Treatment for Preserving Hair Color and Restoring Shine to Color-Treated Hair, Helps with Frizz Control, 8.5 oz",https://www.amazon.com/dp/B0D9R2GFCX,(22),https://m.media-amazon.com/images/I/21LerJ9H16L._SY300_SX300_QL70_FMwebp_.jpg,,2026-03-22 13:18:22,B0D9R2GFCX,,Visit the Freewill Store,4.2
"Govee RGBIC Floor Lamp Basic, 1000lm LED Corner Lamp Compatible with SmartThings, Alexa, and Matter, Modern Floor Lamp with Music Sync and 16 Million DIY Colors, Standing Lamp for Bedroom Living Room",https://www.amazon.com/dp/B099WTN2TR,"(10,409)",https://m.media-amazon.com/images/I/61SdRNLwZzL._AC_SX342_SY445_QL70_FMwebp_.jpg,,2026-03-22 13:18:34,B099WTN2TR,,Visit the Govee Store,4.5
Lepro Bundle - TB1 AI Smart Lamp & TB2 AI Smart Lamp,https://www.amazon.com/dp/B0DP32SHJH,(3),https://m.media-amazon.com/images/I/612umcznpeL._AC_SX342_SY445_QL70_FMwebp_.jpg,,2026-03-22 13:18:39,B0DP32SHJH,,Visit the Lepro Store,5.0
"Micomlan Architect Desk Lamp with Atmosphere Lighting, Adjustable Led Desk Light for Home Office with Base, 24W Bright Auto Dimming Table Light with Rotatable Swing Arm for Workbench Computer",https://www.amazon.com/dp/B0CJM6WYZ8,"(1,366)",https://m.media-amazon.com/images/I/718h9-BTMdL._AC_SX342_SY445_QL70_FMwebp_.jpg,,2026-03-22 13:18:45,B0CJM6WYZ8,,Visit the Micomlan Store,4.7
"Govee RGBIC Floor Lamp Basic, 1000lm LED Corner Lamp Compatible with SmartThings, Alexa, and Matter, Modern Floor Lamp with Music Sync and 16 Million DIY Colors, Standing Lamp for Bedroom Living Room",https://www.amazon.com/dp/B099WTN2TR,"(10,409)",https://m.media-amazon.com/images/I/61SdRNLwZzL._AC_SX342_SY445_QL70_FMwebp_.jpg,,2026-03-22 13:18:50,B099WTN2TR,,Visit the Govee Store,4.5
"Life Extension Two-Per-Day Multivitamin, Vitamins B, C, D, zinc, Packed with Over 25 Vitamins, Minerals & extracts, Two-Month Supply, Non-GMO, Gluten-Free, 120 Capsules",https://www.amazon.com/dp/B01IROPPR8,"(4,962)",https://m.media-amazon.com/images/I/71S8+dha6DL._AC_SY300_SX300_QL70_FMwebp_.jpg,,2026-03-22 13:19:02,B01IROPPR8,"Staying healthy is a daily effort. Two-Per-Day Multivitamin makes it easy. This customer favorite wellness formula includes over 25 different vitamins, minerals and extracts. From more common vitamins (including the B vitamins like vitamin B6 and vitamin B12), along with health favorites vitamin C and vitamin D3, to healthy minerals and extracts (including zinc, selenium, inositol, apigenin, boron and more), our Two-Per-Day daily multivitamin is a comprehensive formula that supports a healthy foundation with quality ingredients.",Visit the Life Extension Store,4.5
"TRU NIAGEN Patented NAD Supplement for Brain Function, Anti Aging & Cell Regeneration, 300mg Niagen, 30 Servings | Supports Cellular Energy, Muscle | Nicotinamide Riboside (NR) Take 1 Daily | 1 Bottle",https://www.amazon.com/dp/B07TK5K5TQ,"(13,929)",https://m.media-amazon.com/images/I/71oLqs+u-EL._AC_SY300_SX300_QL70_FMwebp_.jpg,,2026-03-22 13:19:08,B07TK5K5TQ,,Visit the TRU NIAGEN Store,4.4
"NOW Foods Supplements, Vitamin D-3 5,000 IU, High Potency, Structural Support*, 240 Softgels",https://www.amazon.com/dp/B0032BH76O,"(49,530)",https://m.media-amazon.com/images/I/71Xsi+LdYzL._AC_SY300_SX300_QL70_FMwebp_.jpg,,2026-03-22 13:19:14,B0032BH76O,"High Potency Supports Healthy Teeth* Promotes Muscle Health* NOW® Vitamin D3 softgels supply this key vitamin in a highly-absorbable liquid softgel form. Vitamin D is normally obtained from the diet or produced by the skin from the ultraviolet energy of the sun. However, it is not abundant in food. As more people avoid sun exposure, vitamin D supplementation becomes even more necessary to ensure that your body receives an adequate supply. Natural color variation may occur in this product.",Visit the NOW Foods Store,4.8
"NAD Supplement 8457mg Extra Strength NMN Alternative Liposomal + Green Tea for Women & Men w/Urolithin A, Resveratrol, CoQ10, Alpha Lipoic Acid.",https://www.amazon.com/dp/B0DM2N7RNF,"(1,555)",https://m.media-amazon.com/images/I/81g5qC7NSkL._AC_SY300_SX300_QL70_FMwebp_.jpg,,2026-03-22 13:19:19,B0DM2N7RNF,,Visit the Artnaturals Store,4.5
"4x360° Laser Level 360 Self Leveling, 16 Line Laser Leveler for Construction Floor Tiling and Ceiling Rechargeable Green Beam 4D Plane Magnetic Bracket Included, K4-360G",https://www.amazon.com/dp/B09DG38RSH,(308),https://m.media-amazon.com/images/I/61ejajJojpL._AC_SY300_SX300_QL70_FMwebp_.jpg,,2026-03-22 13:19:30,B09DG38RSH,,Visit the DOVOH Store,4.6
"Outdoor Laser Level with Receiver : Daylight High Visibility Laser Level 360 Self Leveling Up To 400ft Long Range High Power Green with Detector Outside Construction Landscaping, H3-360G",https://www.amazon.com/dp/B0CQYQLW85,(160),https://m.media-amazon.com/images/I/71Ou2ef1qjL._AC_SY300_SX300_QL70_FMwebp_.jpg,,2026-03-22 13:19:36,B0CQYQLW85,,Visit the DOVOH Store,4.3
"Heavy Duty Tripod for Laser Level, Adjustable Height for Camera with Bubble Level 1/4""-20 Screw Mount, DH151",https://www.amazon.com/dp/B0CR2ZJ2B5,(79),https://m.media-amazon.com/images/I/51m53nxZtSL._AC_SY300_SX300_QL70_FMwebp_.jpg,,2026-03-22 13:19:41,B0CR2ZJ2B5,,Visit the DOVOH Store,4.4
"Plumb Dot Laser Level with Tripod : Point Laser Level 360 Self Leveling DIY Green Rechargeable, Entry Level, PV-360G-KIT",https://www.amazon.com/dp/B0FS1DVK6Z,(1),https://m.media-amazon.com/images/I/61UPSVZOZIL._AC_SY300_SX300_QL70_FMwebp_.jpg,,2026-03-22 13:19:46,B0FS1DVK6Z,,Visit the DOVOH Store,5.0
Hoka Men's Bondi 9,https://www.amazon.com/dp/B0D5FNKVWN,"(2,006)",https://m.media-amazon.com/images/I/51ztnt-TxBL._AC_SX395_SY395_QL70_FMwebp_.jpg,,2026-03-22 13:19:57,B0D5FNKVWN,"One of the hardest working shoes in the HOKA lineup, the Bondi 9 delivers peak plushness for everyday miles. Overhauled from top to bottom, we’ve increased the stack height and added a new premium foam midsole to deliver that soft, resilient ride that’s become synonymous with the Bondi. Elevated with a 3D molded collar and structured knit upper with zonal breathability, this ultra-cushioned cult favorite has been finished with Durabrasion rubber to combat high wear zones.",Brand: HOKA,4.6
Hoka Mens Clifton 10,https://www.amazon.com/dp/B0D5G61215,"(1,588)",https://m.media-amazon.com/images/I/51DYgNA5GXL._AC_SY395_SX395_QL70_FMwebp_.jpg,,2026-03-22 13:20:03,B0D5G61215,"A trusted trainer for daily maintenance miles, the Clifton has been the keystone of our cushioned styles for 10 years and counting. Ushering in a new era of plush performance, this next-generation update delivers a revitalized underfoot experience with an additional 3mm in heel-to-toe drop. Delivering the same ultralight cushioning that made the Clifton a fan favorite, we’ve fine-tuned the fit and added a breathable jacquard upper with double-lace lock to mitigate tongue migration.",Brand: HOKA,4.6
Hoka Womens Clifton 10,https://www.amazon.com/dp/B0D5G9NC4S,"(1,455)",https://m.media-amazon.com/images/I/51bXQrff2ZL._AC_SY395_SX395_QL70_FMwebp_.jpg,,2026-03-22 13:20:09,B0D5G9NC4S,"A trusted trainer for daily maintenance miles, the Clifton has been the keystone of our cushioned styles for 10 years and counting. Ushering in a new era of plush performance, this next-generation update delivers a revitalized underfoot experience with an additional 3mm in heel-to-toe drop. Delivering the same ultralight cushioning that made the Clifton a fan favorite, we’ve fine-tuned the fit and added a breathable jacquard upper with double-lace lock to mitigate tongue migration.",Brand: HOKA,4.6
Hoka Womens Bondi 9,https://www.amazon.com/dp/B0D5FVJ1M3,"(2,082)",https://m.media-amazon.com/images/I/51ZJ1Z2RJyL._AC_SY395_SX395_QL70_FMwebp_.jpg,,2026-03-22 13:20:14,B0D5FVJ1M3,"One of the hardest working shoes in the HOKA lineup, the Bondi 9 delivers peak plushness for everyday miles. Overhauled from top to bottom, we’ve increased the stack height and added a new premium foam midsole to deliver that soft, resilient ride that’s become synonymous with the Bondi. Elevated with a 3D molded collar and structured knit upper with zonal breathability, this ultra-cushioned cult favorite has been finished with Durabrasion rubber to combat high wear zones.",Brand: HOKA,4.6
"Vantrue 256GB microSDXC UHS-I U3 4K UHD Video High Speed Transfer Monitoring SD Card with Adapter for Dash Cams, Body Cams, Action Camera, Surveillance & Security Cams",https://www.amazon.com/dp/B07WWCLHGM,"(7,466)",https://m.media-amazon.com/images/I/61SYDPWZODL._AC_SY300_SX300_QL70_FMwebp_.jpg,,2026-03-22 13:20:25,B07WWCLHGM,,Visit the VANTRUE Store,4.6
"Electric Air Duster-（3 Times The Average Market Wind Force）, Super Power Cordless Duster, Rechargeable Brushless Motor Durable Blower, 3-Gear Adjustable for Keyboard, Car, House, Patio",https://www.amazon.com/dp/B0F2F7NMWZ,(392),https://m.media-amazon.com/images/I/71zmQHEAeyL._AC_SY300_SX300_QL70_FMwebp_.jpg,,2026-03-22 13:20:30,B0F2F7NMWZ,,Visit the VANTRUE POWER Store,4.1
"Vantrue 256GB microSDXC UHS-I U3 4K UHD Video High Speed Transfer Monitoring SD Card with Adapter for Dash Cams, Body Cams, Action Camera, Surveillance & Security Cams",https://www.amazon.com/dp/B07WWCLHGM,"(7,466)",https://m.media-amazon.com/images/I/61SYDPWZODL._AC_SY300_SX300_QL70_FMwebp_.jpg,,2026-03-22 13:20:35,B07WWCLHGM,,Visit the VANTRUE Store,4.6
"Vantrue 11.5ft USB-C Hardwire Kit (12V–24V to 5V) with Acc Functionality, Low Voltage Protection for N4(S)/N4 Pro(S)/N5(S)/N2X/E1 Pro/E360/ACE/E1 Lite/E2/S1 Pro(MAX)",https://www.amazon.com/dp/B083XB8T7T,"(4,909)",https://m.media-amazon.com/images/I/41fP0NYNHtL._SX342_SY445_QL70_FMwebp_.jpg,,2026-03-22 13:20:41,B083XB8T7T,,Visit the VANTRUE Store,4.5
"MelodySusie Compact Advanced UV LED Nail Lamp, P-Plus30F Nail Dryer with 3 Timers & Smart Sensor Cures All Gels, Especially Rhinestone Glue, Solid & Liner Gel Polishes for Advanced DIY at Home-White",https://www.amazon.com/dp/B0DHRYH55P,"(3,190)",https://m.media-amazon.com/images/I/318eP-LNNCL._SY300_SX300_QL70_FMwebp_.jpg,,2026-03-22 13:20:52,B0DHRYH55P,,Visit the MelodySusie Store,4.5
"268W UV LED Nail Lamp, LKE Nail Dryer for Gel Polish, 4 Timers UV Nail Lamp Professional Nail Light, 57Pcs Lamp Beads and Automatic Sensor(White)",https://www.amazon.com/dp/B0BRSSFLFW,"(4,658)",https://m.media-amazon.com/images/I/61Y-0tDHc7L._AC_SX300_SY300_QL70_FMwebp_.jpg,,2026-03-22 13:20:58,B0BRSSFLFW,,Visit the LKE Store,4.5
"Replacment Power Supply Adapter for LED Nail Lamp AC DC Power SUN2C 48W Light Power Charger Compatible for SUNUV Nail Dryer LED Nail Lamp, SUN4,SUN3, Black, LX120200",https://www.amazon.com/dp/B0D4V3J36T,(24),https://m.media-amazon.com/images/I/41jX8G6wL-L._AC_SX342_SY445_QL70_FMwebp_.jpg,,2026-03-22 13:21:03,B0D4V3J36T,LED Nail Lamp charger,Brand: Emirrehgo,3.8
"NAILGIRLS 150W UV LED Nail Lamp with Auto Sensor - Fast Curing Gel Polish Acrylic Nail Dryer, UV Nail Light 4 Timer Settings, 36 LED Beads and Automatic Sensor for Home Salon Use",https://www.amazon.com/dp/B0989L154S,"(1,949)",https://m.media-amazon.com/images/I/6116i-2nZLL._AC_SX342_SY445_QL70_FMwebp_.jpg,,2026-03-22 13:21:08,B0989L154S,,Visit the NAILGIRLS Store,4.4
